2019-08-28 11:11:21.6244||DEBUG|NYSE.API.Program|NYSE init main |url: |action: 
2019-08-28 11:11:26.6800|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/api/dailyprices|action: 
2019-08-28 11:11:27.1141||INFO|NYSE.API.Controllers.DailyPricesController|Return all daily prices. |url: http://localhost/api/dailyprices|action: GetDailyPrices
2019-08-28 11:21:45.3888||INFO|NYSE.API.Controllers.DailyPricesController|Return all daily prices. |url: http://localhost/api/dailyprices|action: GetDailyPrices
2019-08-28 11:23:12.5849||INFO|NYSE.API.Controllers.DailyPricesController|Return all daily prices. |url: http://localhost/api/dailyprices|action: GetDailyPrices
2019-08-28 11:23:43.5780||INFO|NYSE.API.Controllers.DailyPricesController|Return all daily prices. |url: http://localhost/api/dailyprices|action: GetDailyPrices
2019-08-28 11:24:45.1485||INFO|NYSE.API.Controllers.DailyPricesController|Return all daily prices. |url: http://localhost/api/dailyprices|action: GetDailyPrices
2019-08-28 11:26:00.9881||INFO|NYSE.API.Controllers.DailyPricesController|Return all daily prices. |url: http://localhost/api/dailyprices|action: GetDailyPrices
2019-08-28 11:26:28.0606||INFO|NYSE.API.Controllers.DailyPricesController|Return all daily prices. |url: http://localhost/api/dailyprices|action: GetDailyPrices
2019-08-28 11:30:50.6907||INFO|NYSE.API.Controllers.DailyPricesController|Return all daily prices. |url: http://localhost/api/dailyprices|action: GetDailyPrices
2019-08-28 11:30:57.4303||INFO|NYSE.API.Controllers.DailyPricesController|Return all daily prices. |url: http://localhost/api/dailyprices|action: GetDailyPrices
2019-08-28 11:30:59.0364||INFO|NYSE.API.Controllers.DailyPricesController|Return all daily prices. |url: http://localhost/api/dailyprices|action: GetDailyPrices
2019-08-28 11:31:04.4171||INFO|NYSE.API.Controllers.DailyPricesController|START: GET price record for id '102580'. |url: http://localhost/api/dailyprices/102580|action: GetDailyPricesById
2019-08-28 11:31:04.4736||INFO|NYSE.API.Controllers.DailyPricesController|END: GET price record for Id '102580'. |url: http://localhost/api/dailyprices/102580|action: GetDailyPricesById
2019-08-28 11:31:07.5425||INFO|NYSE.API.Controllers.DailyPricesController|START: PUT for id '102580'. |url: http://localhost/api/dailyprices/102580|action: PutDailyPrice
2019-08-28 11:31:07.6343||INFO|NYSE.API.Controllers.DailyPricesController|END: PUT for id '102580'. |url: http://localhost/api/dailyprices/102580|action: PutDailyPrice
2019-08-28 11:31:07.6573||INFO|NYSE.API.Controllers.DailyPricesController|Return all daily prices. |url: http://localhost/api/dailyprices|action: GetDailyPrices
2019-08-28 11:31:07.7800||INFO|NYSE.API.Controllers.DailyPricesController|START: GET price record for id '102580'. |url: http://localhost/api/dailyprices/102580|action: GetDailyPricesById
2019-08-28 11:31:07.7800||INFO|NYSE.API.Controllers.DailyPricesController|END: GET price record for Id '102580'. |url: http://localhost/api/dailyprices/102580|action: GetDailyPricesById
2019-08-28 11:31:22.9767||INFO|NYSE.API.Controllers.DailyPricesController|START: POST price record. |url: http://localhost/api/dailyprices|action: PostDaily
2019-08-28 11:31:23.0268||INFO|NYSE.API.Controllers.DailyPricesController|END: POST price record. |url: http://localhost/api/dailyprices|action: PostDaily
2019-08-28 11:31:25.8722||INFO|NYSE.API.Controllers.DailyPricesController|Return all daily prices. |url: http://localhost/api/dailyprices|action: GetDailyPrices
2019-08-28 11:31:28.4170||INFO|NYSE.API.Controllers.DailyPricesController|START: GET price record for id '102706'. |url: http://localhost/api/dailyprices/102706|action: GetDailyPricesById
